Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Impact ball head sniper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prj_bullet_impact_head_sniper,,,prj\bullet\headshot\helmet_nd\helmet_nd_00.wav,,,,,,,,bus_hdrfx,grp_impacts,snp_impacts,,40,0,98,98,100,500,520,,,,,2,priority,8,oldest,-200,300,20,70,0.35,0.8,no,3d,default,,nonlooping,pitch,1,50,0,0,0,0.2,no,yes,,0,,no,,,,,,,,,yes,no,no,0,1,yes,no,,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
prj_bullet_impact_head_sniper,,,prj\bullet\headshot\helmet_nd\helmet_nd_01.wav,,,,,,,,bus_hdrfx,grp_impacts,snp_impacts,,40,0,98,98,100,500,520,,,,,2,priority,8,oldest,-200,300,20,70,0.35,0.8,no,3d,default,,nonlooping,pitch,1,50,0,0,0,0.2,no,yes,,0,,no,,,,,,,,,yes,no,no,0,1,yes,no,,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
prj_bullet_impact_head_sniper,,,prj\bullet\headshot\helmet_nd\helmet_nd_02.wav,,,,,,,,bus_hdrfx,grp_impacts,snp_impacts,,40,0,98,98,100,500,520,,,,,2,priority,8,oldest,-200,300,20,70,0.35,0.8,no,3d,default,,nonlooping,pitch,1,50,0,0,0,0.2,no,yes,,0,,no,,,,,,,,,yes,no,no,0,1,yes,no,,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,
prj_bullet_impact_head_sniper,,,prj\bullet\headshot\helmet_nd\helmet_nd_03.wav,,,,,,,,bus_hdrfx,grp_impacts,snp_impacts,,40,0,98,98,100,500,520,,,,,2,priority,8,oldest,-200,300,20,70,0.35,0.8,no,3d,default,,nonlooping,pitch,1,50,0,0,0,0.2,no,yes,,0,,no,,,,,,,,,yes,no,no,0,1,yes,no,,,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,

meteor_affirm,,,zombie\meteor_affirm.wav,,,uin_mod,,,,,bus_music,grp_music,,,0,0,100,100,0,1200,2000,,,,,,,,,,,,,,,,3d,,,nonlooping,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meteor_loop,,,zombie\meteor_loop.wav,,,uin_mod,,,,,bus_music,grp_music,,,0,0,100,100,0,1200,2000,,,,,,,,,,,,,,,,3d,,,looping,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

