xmodel,c_zom_der_zombie_body1
xmodelmesh,c_zom_der_zombie_body1_lod0102584b3
xmodelmesh,c_zom_der_zombie_body1_lod13a4c151d
xmodelmesh,c_zom_der_zombie_body1_lod2e1cd148d
xmodelmesh,c_zom_der_zombie_body1_lod3c0192029
xmodelmesh,c_zom_der_zombie_body1_lod479867f97
xmodelmesh,c_zom_der_zombie_body1_lod5a6facfa2
xmodelmesh,c_zom_der_zombie_body1_lod6368319cc
material,mc/mtl_c_gen_gib_alpha
material,mc/mtl_c_gen_gib_gore_arm_right_a
material,mc/mtl_c_gen_gib_stump
material,mc/mtl_c_zom_der_zombie_body1
material,mc/mtl_c_zom_der_zombie_body1_chest
material,mc/mtl_c_zom_der_zombie_gear_mp40pouch
techset,mc/lit_transition#e6142445
techset,mc/lit_transition_advanced#e6142445
image,$white_gloss
image,i_c_gen_char_c
image,i_c_gen_char_g
image,i_c_gen_char_n
image,i_c_gen_gib_alpha_jpn_safe_c
image,i_c_gen_gib_stump_ao
image,i_c_gen_gib_stump_g
image,i_c_gen_gib_stump_jpn_safe_c
image,i_c_gen_gib_stump_n
image,i_c_gen_reveal_1k_rec_horiz_r
image,i_c_gen_reveal_1k_rec_vert_r
image,i_c_gen_reveal_256_sq_r
image,i_c_gen_reveal_2k_sq_r
image,i_c_zom_der_zombie_body1_ao
image,i_c_zom_der_zombie_body1_c
image,i_c_zom_der_zombie_body1_chest_ao
image,i_c_zom_der_zombie_body1_chest_c
image,i_c_zom_der_zombie_body1_chest_g
image,i_c_zom_der_zombie_body1_chest_n
image,i_c_zom_der_zombie_body1_g
image,i_c_zom_der_zombie_body1_n
image,i_c_zom_der_zombie_mp40pouch_ao
image,i_c_zom_der_zombie_mp40pouch_c
image,i_c_zom_der_zombie_mp40pouch_g
image,i_c_zom_der_zombie_mp40pouch_n
image,i_c_zom_der_zombie_mp40pouch_s
sound,zm_jans_haven
localize,craftables
localize,hb21_zm_perks
keyvaluepairs,zm_jans_haven
