xmodel,avgArea (min 50.0),triCount (max 0),dimX,dimY,dimZ,volume,refs
p9_sur_machine_mule_kick_off,0.19,252648,68.21,37.76,113.68,292794.28,1
p9_sur_machine_mule_kick,0.19,252648,68.21,37.76,113.68,292794.28,1
p9_sur_machine_elemental_pop_off,0.50,89426,69.89,40.33,95.96,270490.53,1
p9_sur_machine_elemental_pop,0.50,89426,69.89,40.33,95.96,270490.53,1
p9_sur_vending_ads,0.25,82126,53.99,31.12,103.01,173056.13,1
p9_sur_vending_ads_off,0.25,82126,53.99,31.12,103.01,173056.13,1
p9_sur_machine_perk,1.18,74164,52.36,55.39,96.91,281061.94,1
p9_sur_machine_phd_slider_off,0.25,67868,29.34,20.26,96.09,57120.03,1
p9_sur_machine_phd_slider,0.25,67868,29.34,20.26,96.09,57120.03,1
p9_sur_machine_tombstone,0.85,53560,61.60,27.67,109.46,186606.61,1
p9_sur_machine_tombstone_off,0.85,53560,61.60,27.67,109.46,186606.61,1
wpn_t7_zmb_bow_demon_view,0.08,39722,58.96,6.06,76.04,27181.20,1
wpn_t7_zmb_bow_base_view,0.08,39722,58.96,6.06,76.04,27181.20,1
wpn_t7_zmb_bow_storm_view,0.08,39722,58.96,6.06,76.04,27181.20,1
wpn_t7_zmb_bow_rune_view,0.08,39722,58.96,6.06,76.04,27181.20,1
wpn_t7_zmb_bow_wolf_view,0.08,39722,58.96,6.06,76.04,27181.20,1
guitar,1.87,37087,256.21,30.26,89.55,694296.56,2
km_vending_nuke_on_vm,0.22,36322,27.86,23.49,91.88,60129.25,1
km_vending_nuke_vm,0.22,36322,27.86,23.49,91.88,60129.25,2
p7_zm_isl_specimen_container_lg,2.47,36234,63.00,64.50,119.69,486368.63,3
p9_sur_machine_staminup_off,0.88,34917,48.78,27.82,90.50,122816.77,1
p9_sur_machine_staminup,0.88,34917,48.78,27.82,90.50,122816.77,1
wpn_t8_acidgat_view,0.03,34169,38.89,7.53,7.41,2171.86,1
wpn_t8_blundergat_view,0.03,34169,38.89,7.53,7.41,2171.86,1
wpn_t8_magmagat_view,0.03,34169,38.89,7.53,7.41,2171.86,1
wpn_t7_zmb_bow_demon_world,0.02,33637,26.22,2.75,56.64,4079.09,1
wpn_t7_zmb_bow_storm_world,0.03,33219,26.43,4.01,56.64,5998.94,1
wpn_t7_zmb_bow_wolf_world,0.02,32931,26.23,2.75,56.64,4080.42,1
wpn_t7_zmb_bow_rune_world,0.03,32889,26.37,2.93,56.64,4381.89,1
p9_sur_machine_speed_cola_off,1.16,32786,54.06,34.08,105.95,195182.00,1
p9_sur_machine_speed_cola,1.16,32786,54.06,34.08,105.95,195182.00,1
wpn_t7_zmb_bow_base_world,0.02,32426,26.21,2.75,56.64,4080.47,2
p7_zm_isl_specimen_container_egg,1.31,28404,51.31,53.92,60.45,167249.33,2
darksouls_bonfire,0.26,28286,56.15,53.82,72.04,217680.66,2
p9_sur_machine_quick_revive_off,0.76,28110,51.45,40.02,87.52,180188.89,1
p9_sur_machine_quick_revive,0.76,28110,51.45,40.02,87.52,180188.89,1
p8_anim_zm_al_magmagat_press,9.66,27914,149.91,184.06,133.48,3683128.00,1
p9_sur_machine_juggernog,0.86,27210,39.46,33.09,107.52,140413.70,1
p9_sur_machine_juggernog_off,0.86,27210,39.46,33.09,107.52,140413.70,1
p8_anim_zm_al_packasplat,0.46,26459,32.54,80.15,26.65,69499.87,1
xela_perk_vulture_aid,0.56,23735,50.99,26.60,95.04,128901.41,1
xela_perk_vulture_aid_off,0.56,23735,50.99,26.60,95.04,128901.41,1
veh_t7_dlc1_motorcycle_german_sidecar_covered_snow,0.53,22844,81.48,37.56,34.70,106185.38,2
p9_sur_machine_tombstone_grave,0.34,18592,36.00,16.90,36.00,21899.83,1
p7_zm_sta_computer_tower_03,1.04,17510,34.17,30.00,92.00,94295.98,6
km_vending_ammomatic_on_vm,1.85,16436,46.91,31.76,94.89,141389.92,2
