index,type,name,resident,streamed,parentStack
1,string,,0,0,||assetlist
2,techset,mc/lit_decal_diffuse_spec_gloss#e6142445,42,0,|mc/mtl_c_gen_gib_alpha|material|zone_source/loc/zm_undead_asylum.zone|csv
3,material,mc/mtl_c_gen_gib_gore_arm_right_a,35,0,|zone_source/loc/zm_undead_asylum.zone|csv
4,techset,mc/vegetation#e6142445,24,0,|mc/mtl_gib_chunk_set|material|p7_gib_chunk_bone_03|xmodel|zone_source/loc/zm_undead_asylum.zone|csv
5,material,mc/mtl_gib_chunk_set,22,0,|p7_gib_chunk_bone_03|xmodel|zone_source/loc/zm_undead_asylum.zone|csv
6,physpreset,gib,5,0,|p7_gib_chunk_bone_03|xmodel|zone_source/loc/zm_undead_asylum.zone|csv
7,xmodel,p7_gib_chunk_meat_01,22,0,|zone_source/loc/zm_undead_asylum.zone|csv
8,xmodel,p7_gib_chunk_meat_02,22,0,|zone_source/loc/zm_undead_asylum.zone|csv
9,xmodel,p7_gib_chunk_meat_03,22,0,|zone_source/loc/zm_undead_asylum.zone|csv
10,xmodel,p7_gib_chunk_flesh_01,23,0,|zone_source/loc/zm_undead_asylum.zone|csv
11,xmodel,p7_gib_chunk_flesh_03,23,0,|zone_source/loc/zm_undead_asylum.zone|csv
12,xmodel,p7_gib_chunk_bone_03,22,0,|zone_source/loc/zm_undead_asylum.zone|csv
13,image,$white_reveal,15,0,|mc/mtl_c_gen_gib_alpha|material|zone_source/loc/zm_undead_asylum.zone|csv
14,image,$white_gloss,14,0,|mc/mtl_c_gen_gib_alpha|material|zone_source/loc/zm_undead_asylum.zone|csv
15,image,i_c_gen_gib_alpha_c,132,699088,|mc/mtl_c_gen_gib_alpha|material|zone_source/loc/zm_undead_asylum.zone|csv
16,material,mc/mtl_c_gen_gib_alpha,929,0,|zone_source/loc/zm_undead_asylum.zone|csv
17,techset,mc/lit_transition#e6142445,28,0,|mc/mtl_c_gen_gib_stump|material|zone_source/loc/zm_undead_asylum.zone|csv
18,image,i_c_gen_char_g,16,0,|mc/mtl_c_gen_gib_stump|material|zone_source/loc/zm_undead_asylum.zone|csv
19,image,i_c_gen_gib_stump_ao,101,43672,|mc/mtl_c_gen_gib_stump|material|zone_source/loc/zm_undead_asylum.zone|csv
20,image,$gray_32_one_channel,22,0,|mc/mtl_c_gen_gib_gore_arm_right|material|zone_source/loc/zm_undead_asylum.zone|csv
21,image,i_c_gen_char_c,16,0,|mc/mtl_c_gen_gib_stump|material|zone_source/loc/zm_undead_asylum.zone|csv
22,image,i_c_gen_gib_stump_n,292,742760,|mc/mtl_c_gen_gib_stump|material|zone_source/loc/zm_undead_asylum.zone|csv
23,image,i_c_gen_gib_stump_g,260,109208,|mc/mtl_c_gen_gib_stump|material|zone_source/loc/zm_undead_asylum.zone|csv
24,image,i_c_gen_reveal_1k_rec_horiz_r,286,393216,|mc/mtl_c_gen_gib_stump|material|zone_source/loc/zm_undead_asylum.zone|csv
25,image,i_c_gen_gib_stump_c,276,393216,|mc/mtl_c_gen_gib_stump|material|zone_source/loc/zm_undead_asylum.zone|csv
26,image,i_c_gen_char_n,16,0,|mc/mtl_c_gen_gib_stump|material|zone_source/loc/zm_undead_asylum.zone|csv
27,material,mc/mtl_c_gen_gib_stump,1695,0,|zone_source/loc/zm_undead_asylum.zone|csv
28,localize,HB21_ZM_PERKS_PHDFLOPPER,78,0,||assetlist
29,localize,HB21_ZM_PERKS_TOMBSTONE,73,0,||assetlist
30,localize,HB21_ZM_PERKS_ELECTRIC_CHERRY,85,0,||assetlist
31,localize,HB21_ZM_PERKS_VULTUREAID,76,0,||assetlist
32,localize,HB21_ZM_PERKS_WHOSWHO,71,0,||assetlist
33,localize,HB21_ZM_PERKS_ELEMENTAL_POP,81,0,||assetlist
34,sound,zm_undead_asylum.en,58,0,||assetlist
35,techset,mc/lit_plus#e6142445,22,0,|mc/mtl_c_gen_gib_gore_arm_right|material|zone_source/loc/zm_undead_asylum.zone|csv
36,material,mc/mtl_c_gen_gib_gore_arm_right,33,0,|zone_source/loc/zm_undead_asylum.zone|csv
37,keyvaluepairs,sc_zm_undead_asylum,6062,0,||assetlist
38,image,i_c_gen_gib_gore_arm_right_c,30,0,|mc/mtl_c_gen_gib_gore_arm_right|material|zone_source/loc/zm_undead_asylum.zone|csv
39,image,i_c_gen_gib_gore_arm_right_g,30,0,|mc/mtl_c_gen_gib_gore_arm_right|material|zone_source/loc/zm_undead_asylum.zone|csv
40,image,i_mtl_p7_gib_chunk_set_c,26,0,|mc/mtl_gib_chunk_set|material|p7_gib_chunk_bone_03|xmodel|zone_source/loc/zm_undead_asylum.zone|csv
41,image,i_mtl_p7_gib_chunk_set_n,26,0,|mc/mtl_gib_chunk_set|material|p7_gib_chunk_bone_03|xmodel|zone_source/loc/zm_undead_asylum.zone|csv
42,image,$thickness_base,17,0,|mc/mtl_gib_chunk_set|material|p7_gib_chunk_bone_03|xmodel|zone_source/loc/zm_undead_asylum.zone|csv
43,xmodelmesh,p7_gib_chunk_meat_01_lod09ae13a73,35,0,|p7_gib_chunk_meat_01|xmodel|zone_source/loc/zm_undead_asylum.zone|csv
44,xmodelmesh,p7_gib_chunk_meat_01_lod0b1cdd03f,35,0,|p7_gib_chunk_meat_01|xmodel|zone_source/loc/zm_undead_asylum.zone|csv
45,xmodelmesh,p7_gib_chunk_meat_01_lod0bf6605c,34,0,|p7_gib_chunk_meat_01|xmodel|zone_source/loc/zm_undead_asylum.zone|csv
46,xmodelmesh,p7_gib_chunk_meat_01_lod01f019145,35,0,|p7_gib_chunk_meat_01|xmodel|zone_source/loc/zm_undead_asylum.zone|csv
